Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,BWA,High-technology exports (current US$),,,,,,,,,,,,,,,18356854.0,37475913.0,28743102.0,52657764.0,38519418.0,19399630.0,16238758.0,23413968.0
Central African Republic,CAF,High-technology exports (current US$),,,,,,,,,,,632110.0,1394.0,134458.0,10012.0,,4091308.0,6613251.0,35462286.0,8173212.0,,,
Canada,CAN,High-technology exports (current US$),,,,,,,,30526426800.0,30127811741.0,25642281363.0,26566354162.0,27498833323.0,33106176422.0,32177506045.0,28785442620.0,28241567521.0,26201901348.0,26937505963.0,30479680520.0,31536892938.0,25572229417.0,29085816799.0
Central Europe and the Baltics,CEB,High-technology exports (current US$),,,,,,,,50142095361.0,60985922055.0,54144205968.0,65073298896.0,78182098271.0,72098576552.0,76527105929.0,82021232937.0,76742019017.0,79831161810.0,89485795206.0,102843367813.0,102071312590.0,104977065648.0,112921613832.0
Switzerland,CHE,High-technology exports (current US$),,,,,,,,36172959509.0,43492661191.0,40395074321.0,43607937596.0,51148249215.0,51279423966.0,54346224629.0,57101557330.0,53795507159.0,55536700708.0,29833875250.0,30114429626.0,29872166791.0,29244241618.0,38194199754.0
Channel Islands,CHI,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,High-technology exports (current US$),,,,,,,,650978244.0,656550691.0,475672104.0,541747269.0,554586780.0,578351153.0,696148309.0,731379019.0,579468220.0,720583779.0,634211636.0,667732448.0,672133557.0,1368056902.0,1264181379.0
Cote d'Ivoire,CIV,High-technology exports (current US$),,,,,,,,,186083373.0,197108462.0,70491479.0,176346415.0,96850645.0,165473506.0,241143808.0,187851824.0,126534584.0,137431112.0,78785577.0,141805000.0,,
Cameroon,CMR,High-technology exports (current US$),,,,,,,,,,,,,,13489549.0,27496793.0,14036843.0,11759707.0,30197987.0,16426309.0,,,
"Congo, Dem. Rep.",COD,High-technology exports (current US$),,,,,,,,,,,,,,,,63192019.0,5559878.0,9337456.0,26163468.0,32092118.0,17445945.0,
"Congo, Rep.",COG,High-technology exports (current US$),,,,,,,,,,,,,,,49499678.0,53837391.0,71754303.0,82791344.0,40589385.0,29719758.0,37906534.0,
Colombia,COL,High-technology exports (current US$),,,,,,,,360292045.0,475948292.0,492118044.0,451119242.0,433809511.0,565873207.0,773381765.0,762807179.0,823794430.0,766932657.0,692526482.0,603546790.0,753151214.0,689645045.0,735048087.0
Comoros,COM,High-technology exports (current US$),,,,,,,,,,,,,,,194928.0,134024.0,20214.0,2120514.0,28672.0,834199.0,39177.0,
Cabo Verde,CPV,High-technology exports (current US$),,,,,,,,,,,,62511.0,,,331.0,,,,12.0,,62460.0,
Costa Rica,CRI,High-technology exports (current US$),,,,,,,,2537251590.0,2435411742.0,1794967049.0,2203393662.0,2521508710.0,2732041549.0,3074122818.0,2418529245.0,869820756.0,951891475.0,1106654384.0,1148831722.0,1154572202.0,1038666156.0,
Caribbean small states,CSS,High-technology exports (current US$),,,,,,,,,,,11931808.0,,65494213.0,,,,29328667.0,46810528.0,28299756.0,,,
Cuba,CUB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,10398276.0,7773205.0
Cyprus,CYP,High-technology exports (current US$),,,,,,,,96700002.0,123587752.0,109541360.0,143937807.0,112875069.0,55513251.0,56343471.0,68439984.0,55564490.0,56096171.0,54768491.0,95712393.0,92911879.0,62939856.0,88002844.0
Germany,DEU,High-technology exports (current US$),,,,,,,,169493517000.0,183022564975.0,158680284909.0,179569601140.0,202276358704.0,202764810815.0,209260620547.0,215614575271.0,199429949286.0,205076595195.0,195245397594.0,209722667086.0,208148360615.0,182351776932.0,209744317150.0
Djibouti,DJI,High-technology exports (current US$),,,,,,,,,,1331100.0,,,,,,,,,,,,
Dominica,DMA,High-technology exports (current US$),,,,,,,,,,,154223.0,,1949279.0,,,,,,,,,
Denmark,DNK,High-technology exports (current US$),,,,,,,,12072522449.0,12416900344.0,11257822544.0,9011713272.0,10407807735.0,9741805418.0,10195605366.0,10640390286.0,10082501559.0,10050869706.0,8928757558.0,9552895599.0,9579549585.0,10455650566.0,12356258125.0
Dominican Republic,DOM,High-technology exports (current US$),,,,,,,,759722321.0,343574648.0,181137321.0,75810617.0,97365423.0,145436379.0,197793259.0,223053898.0,207374016.0,228458932.0,479793890.0,388076825.0,399432211.0,486999840.0,565448986.0
